datetime,adobe analytics searches
12/10/14,62
12/11/14,0
12/12/14,0
12/13/14,0
12/14/14,0
12/15/14,0
12/16/14,49
12/17/14,60
12/18/14,70
12/19/14,0
12/20/14,0
12/21/14,0
12/22/14,0
12/23/14,0
12/24/14,0
12/25/14,0
12/26/14,0
12/27/14,0
12/28/14,0
12/29/14,0
12/30/14,0
12/31/14,0
1/1/15,0
1/2/15,0
1/3/15,0
1/4/15,0
1/5/15,0
1/6/15,44
1/7/15,48
1/8/15,57
1/9/15,58
1/10/15,60
1/11/15,62
1/12/15,64
1/13/15,61
1/14/15,61
1/15/15,61
1/16/15,55
1/17/15,55
1/18/15,55
1/19/15,55
1/20/15,68
1/21/15,60
1/22/15,64
1/23/15,45
1/24/15,47
1/25/15,49
1/26/15,51
1/27/15,54
1/28/15,99
1/29/15,43
1/30/15,58
1/31/15,58
2/1/15,58
2/2/15,59
2/3/15,63
2/4/15,74
2/5/15,86
2/6/15,66
2/7/15,70
2/8/15,73
2/9/15,76
2/10/15,50
2/11/15,60
2/12/15,64
2/13/15,53
2/14/15,55
2/15/15,56
2/16/15,57
2/17/15,61
2/18/15,43
2/19/15,0
2/20/15,0
2/21/15,0
2/22/15,0
2/23/15,0
2/24/15,63
2/25/15,46
2/26/15,68
2/27/15,100
2/28/15,42
3/1/15,42
3/2/15,42
3/3/15,42
3/4/15,76
3/5/15,55
3/6/15,53
3/7/15,0
3/8/15,0
3/9/15,0
